,title,description,date,type,comp_short,data_exchange,data-price
134,Акции кикшеринга Whoosh обвалились на 15% по итогам пятничных торгов,Котировки компании начали падать на третий день торгов на Мосбирже — первые два дня они торговались около цены IPO. На минимуме дня падение составило 26%,"16 дек 2022, 15:06",Новости,"['IMOEX', 'WUSH']","['0.28', '-15.208']","['2132.75', '155']"
135,"ЦБ во второй раз оставил ключевую ставку неизменной на уровне 7,5%","Ключевая ставка ЦБ, от которой зависит уровень процентных ставок по депозитам и стоимость кредитов, осталась неизменной. ЦБ уже второй раз подряд оставляет ставку неизменной. До этого он снижал ставку шесть раз подряд","16 дек 2022, 13:30",Новости,"['USD/RUB', 'EUR/RUB', 'CNY/RUB', 'MOEX']","['0.462', '0.145', '0.695', '-0.094']","['64.65', '69.1', '9.279', '84.95']"
136,Брокер «Альфа-Инвестиции» подал заявку на разморозку активов,"Брокер отметил, что гарантировать получение лицензии нельзя, но шансы на это есть, и они немаленькие","16 дек 2022, 12:01",Новости,"['USD/RUB', 'EUR/RUB', 'SPBE']","['0.462', '0.145', '-0.714']","['64.65', '69.1', '111.2']"
137,"Ставка ЦБ, санкции США и Евросоюза, угроза делистинга акций КНР: дайджест","ЦБ объявит о решении по ставке. ЕС введет новые санкции, днем ранее это уже сделали США. Угроза делистинга китайских компаний с бирж США заметно снизилась. События, которые влияют на рынки","16 дек 2022, 09:25",События дня,"['TCSG', 'GMKN', 'USD/RUB', 'BABA', 'JD']","['0.32', '1.527', '0.462', '0.869', '0.159']","['2504.5', '144.98', '64.65', '87.08', '56.61']"
138,Российских инвесторов предупредили о сложностях из-за нового налога в США,Российский брокер ограничил торговлю ценными бумагами компаний США из категории Publicly Traded Partnerships из-за введения налога в размере 10% от всей суммы их продажи,"16 дек 2022, 08:30",Новости,['IMOEX'],['0.28'],['2132.75']
139,Росстат из-за сезонности резко пересмотрел траекторию спада экономики,"Росстат пересчитал динамику ВВП в 2022 году с учетом сезонности: во 2-м квартале экономика упала на 5,2% к 1-му кварталу, а не на 1,9%, а уже в 3-м квартале подросла. Пересчет показал, что технической рецессии не было","16 дек 2022, 00:00",Новости,"['USD/RUB', 'EUR/RUB']","['0.462', '0.145']","['64.65', '69.1']"
140,Аналитики БКС констатировали остановку притока новых денег на рынок,"Изменение в режиме торговли связано с общим снижением инвестиционного оптимизма и с ожидаемым замедлением российской экономики. В документе также говорится, что инвесторы больше не заинтересованы в агрессивных покупках","15 дек 2022, 21:26",Новости,"['USD/RUB', 'USD', 'EUR/USD']","['0.559', '0.04476140609109', '0.183']","['64.3525', '96.1079', '1.07']"
141,ЕЦБ повысил ставку до максимального уровня за 13 лет,"Европейский регулятор поднял ключевую ставку на 50 б.п., до 2,5%. Это совпало с ожиданиями экспертов","15 дек 2022, 17:05",Новости,"['EUR/USD', 'EUR/RUB']","['0.183', '0.995']","['1.07', '69']"
142,Акции девелоперов выросли после слов Путина о продлении льготной ипотеки,Президент России заявил о решении продлить программу льготной ипотеки до июля 2024 года на заседании Совета по стратегическому развитию и национальным проектам,"15 дек 2022, 16:17",Новости,"['PIKK', 'LSRG', 'ETLN']","['3.279', '1.339', '0.542']","['607.9', '454.2', '48.2']"
143,"Совет директоров ТМК рекомендовал выплатить дивиденды в размере ₽6,78",Акции компании на этом фоне подскочили до трехмесячного максимума,"15 дек 2022, 15:02",Новости,['TRMK'],['-0.466'],['81.16']
144,СПБ Биржа подаст заявку на разблокировку активов до конца года,"Глава СПБ Биржи Роман Горюнов также сообщил, что сейчас ведутся переговоры о дальнейшем обмене замороженных активов. В перспективе разблокированы могут быть все бумаги, уверен Горюнов","15 дек 2022, 12:52",Новости,"['SPBE', 'MOEX', 'IMOEX', 'RTSI']","['-0.621', '-1.036', '-1.528', '-1.766']","['112', '85.03', '2126.8', '1042.01']"
145,СПБ Биржа представила планы по созданию экосистемы для обращения ЦФА,"СПБ Биржа планирует подать заявку в Банк России, чтобы получить статус оператора информационной системы — по закону только они имеют право выпускать цифровые финансовые активы","15 дек 2022, 12:14",Новости,['SPBE'],['-0.621'],['112']
146,СПБ Биржа выплатила зависшие дивиденды по иностранным бумагам на $120 млн,Площадке предстоит выплатить еще $36 млн. Из этой суммы $30 млн — дивиденды по американским бумагам,"15 дек 2022, 11:48",Новости,['SPBE'],['-0.621'],['112']
147,"Илон Маск продал акции Tesla еще на $3,6 млрд",За три дня миллиардер избавился от 22 млн акций Tesla. Их цена составляла от $156 до $176 за штуку,"15 дек 2022, 10:25",Новости,"['TSLA', 'RIVN', '2015', 'TM', 'F']","['0.58', '-2.323', '0.854', '-2.067', '-3.341']","['157.83', '23.97', '82.7', '141.66', '13.02']"
148,"Ставка ФРС, ослабление рубля, цены на нефть: дайджест инвестора","ФРС повысила ставку на 50 б.п., до 4,25–4,50%. Российская валюта продолжает слабеть, утром 15 декабря евро превысил ₽69. Цены на Brent выросли за три дня на 8,7%. События, которые влияют на рынки","15 дек 2022, 09:17",События дня,"['BRENT', 'USD/RUB']","['0.58', '0.559']","['83.29', '64.3525']"
149,Стратегия на 2023 год: SberCIB назвал фаворитов на российском рынке акций,"Среди наиболее перспективных акций аналитики SberCIB выделили бумаги ЛУКОЙЛа, «Транснефти», «Полюса», «Интер РАО», Globaltrans, Ozon, «ЭЛ5-Энерго», Fix Price и Мосбиржи","15 дек 2022, 08:30",Новости,"['SBER', 'SBERP']","['-2.003', '-2.665']","['134.55', '131.1']"
150,Курс евро превысил уровень ₽69 впервые с 30 мая,Евро дорожает в ожидании заседания ЕЦБ. Рубль слабеет против доллара и евро на фоне всплеска спроса на иностранную валюту и одновременного сокращения ее предложения,"15 дек 2022, 08:07",Новости,"['EUR/RUB', 'EUR/USD', 'USD/RUB']","['0.995', '0.183', '0.559']","['69', '1.07', '64.3525']"
151,Эксперты РАНХиГС предложили способы повысить пенсии в России,"Чтобы уровень пенсий в России не опустился до социально неприемлемого, властям стоит принять ряд решительных мер, полагают в РАНХиГС. Например, увеличить ставку страховых взносов и минимальный стаж для выхода на пенсию","15 дек 2022, 00:00",Новости,"['USD/RUB', 'EUR/RUB']","['0.559', '0.995']","['64.3525', '69']"
152,"Ставка ФРС выросла до 4,5%. Сможет ли рынок США избежать рецессии?","Федеральная резервная система по итогам двухдневного заседания повысила ставку на 50 б.п. Как и ожидалось, Федрезерв замедлил темпы повышения ставок — предыдущие четыре раза было повышение на 75 б.п.","14 дек 2022, 23:19",Что это значит,['EUR/USD'],['0.277'],['1.06805']
153,"ФРС США повысила ставку на 50 б.п., до 4,25–4,5%","Американский центробанк по итогам заседания 13–14 декабря повысил ставку на 50 базисных пунктов. Теперь она составляет 4,25–4,5% годовых","14 дек 2022, 22:05",Новости,"['AAPL', 'MSFT', 'AMZN', 'GOOGL', 'NVDA']","['-1.362', '0.506', '-0.929', '-0.418', '-2.502']","['143.35', '258', '91.7', '95.19', '176.15']"
154,Курс доллара поднялся выше ₽64 впервые с 13 октября,Рубль слабеет против доллара и евро на фоне всплеска спроса на иностранную валюту и одновременного сокращения ее предложения. Эксперты не исключают дальнейшего ослабления российской валюты,"14 дек 2022, 18:14",Новости,"['USD/RUB', 'EUR/USD', 'EUR/RUB']","['1.822', '0.277', '1.913']","['63.995', '1.06805', '68.32']"
155,ЦБ назвал возможным критерием для статуса «квала» юридический диплом,Банк России работает над реформированием критериев для получения статуса квалифицированного инвестора. Регулятор может снизить имущественный ценз при наличии у инвестора экономического или юридического образования,"14 дек 2022, 17:15",Новости,['IMOEX'],['-0.606'],['2159.81']
156,Ценные бумаги: что это и как с их помощью начать инвестировать на бирже,"Задумываетесь о том, чтобы начать инвестировать в фондовый рынок? Для начала стоит разобраться, что такое ценные бумаги, какие они бывают и какой доход могут принести","14 дек 2022, 16:30",Академия,"['IMOEX', 'RTSI']","['-0.606', '-2.592']","['2159.81', '1060.74']"
157,Акции кикшеринга Whoosh снизились в первые минуты торгов на Мосбирже,Тем не менее котировки остаются недалеко от цены размещения ₽185 за акцию,"14 дек 2022, 16:17",Новости,"['IMOEX', 'WUSH']","['-0.606', '-0.89620675281367']","['2159.81', '190.2']"
158,Зампред «Сбера» заявил о выходе на «стабильную траекторию прибыльности»,"Первый зампред правления Сбербанка Александр Ведяхин также отметил, что подпадение банка под ограничения стало шоком и в текущей ситуации «Сберу» пришлось значительно перестроить бизнес","14 дек 2022, 14:50",Новости,"['SBER', 'SBERP', 'MOEX']","['-0.601', '-0.561', '-2.007']","['137.3', '134.69', '85.92']"
159,ЦБ и Минфин обсуждают отказ от ИИС типа А и Б после запуска ИИС-3,"Ранее директор департамента финансовой политики Минфина Иван Чебесков заявил, что Минфин выступает за отказ от налоговых льгот для всех иностранных активов на ИИС-3","14 дек 2022, 14:05",Новости,"['IMOEX', 'RTSI']","['-0.606', '-2.592']","['2159.81', '1060.74']"
160,Кикшеринг Whoosh разместился по нижней границе и привлек более ₽2 млрд,"Компания провела IPO, ставшее единственным на Московской бирже в 2022 году","14 дек 2022, 10:35",Новости,['IMOEX'],['-0.606'],['2159.81']
161,Курс евро превысил ₽68 впервые с 30 мая,Утренние торги прошли с аномальными изменениями цен на курсы валют,"14 дек 2022, 09:46",Новости,"['EUR/RUB', 'EUR/USD', 'USD/RUB']","['1.913', '0.277', '1.822']","['68.32', '1.06805', '63.995']"
162,"ФРС и ставка, акции Whoosh, аукционы ОФЗ, капитализация Tesla: дайджест","ФРС объявит о своем решении по ставке. Начнутся торги акциями Whoosh. Минфин проведет аукционы на размещение ОФЗ. Капитализация Tesla в ходе торгов упала ниже $500 млрд. События, которые влияют на рынки","14 дек 2022, 09:25",События дня,"['TSLA', 'TSM']","['-2.407', '-0.584']","['156.92', '80.04']"
163,"Почти 50% россиян с брокерскими счетами сообщили, что ими не пользуются","Брокерский счет открыт уже у каждого пятого россиянина, показал опрос НАФИ. Но половину из этих счетов инвесторы держат пустыми. Подавляющее большинство россиян (62%) не планируют начинать инвестировать в ближайшее время","14 дек 2022, 08:30",Новости,"['IMOEX', 'SPBE', 'VTBR']","['-0.606', '-1.4', '-1.293']","['2159.81', '112.7', '82.075']"
164,В ассоциации брокеров назвали срок решения проблемы двойственности ИИС,"Глава НАУФОР рассказал, что к концу этого года вряд ли удастся решить вопрос с сохранением налогового вычета для тех инвесторов, которые были вынуждены открыть второй ИИС для переноса активов с первого заблокированного","13 дек 2022, 19:39",Новости,['IMOEX'],['-0.008'],['2172.98']
165,Акции Tesla никогда не стоили так дешево. Но есть риски нового падения,Давление на котировки оказывает падение спроса в Китае и решение Илона Маска купить Twitter и участвовать в управлении соцсетью,"13 дек 2022, 18:03",Новости,"['TSLA', 'F', 'GM', 'RIVN']","['-4.309', '0.967', '0.468', '-2.766']","['160.79', '13.57', '38.62', '24.96']"
166,Цены на золото подскочили после выхода данных по инфляции в США,"Золото заметно подорожало после выхода данных по инфляции в США, которые оказались лучше прогнозов. Это усилило ожидания, что ФРС замедлит темпы повышения ставки","13 дек 2022, 17:18",Новости,"['GOLD', 'Silver', 'Platinum', 'PLZL']","['1.215', '2.794', '2.554', '2.972']","['1798.8', '23.55', '1040', '7638.5']"
167,Курс евро поднялся выше ₽67 впервые с 30 мая,Российская валюта дешевеет по отношению к евро уже шестую неделю подряд,"13 дек 2022, 17:16",Новости,"['EUR/RUB', 'EUR/USD', 'USD/RUB']","['1.002', '0.776', '0.08']","['67.0375', '1.0651', '62.85']"
168,Фьючерсы на индексы США выросли после данных о замедлении инфляции,"Рост индекса потребительских цен составил 7,1%, показав результат лучше ожиданий. На этом фоне выросла вероятность, что ФРС начнет замедлять темпы роста ставки","13 дек 2022, 16:54",Новости,"['AAPL', 'AMZN', 'TSLA']","['0.672', '2.389', '-4.309']","['145.33', '92.56', '160.79']"
169,Акции ИСКЧ выросли на 5% после получения госфинансирования на ₽4 млн,Компания «Бетувакс» получила грантовую поддержку от Фонда содействия инновациям по программе «Старт-1». Грант подразумевает финансовую поддержку до ₽4 млн сроком на один год,"13 дек 2022, 14:33",Новости,"['MRNA', 'PFE', 'JNJ', 'ABIO', 'GECO']","['21.358', '1.901', '0.506', '0.438', '-1.7199758599879']","['200.58', '53.07', '178.74', '64.14', '32.57']"
170,В Morgan Stanley предупредили о новой «боли» для акций США в 2023 году,"Стратег Morgan Stanley Майкл Уилсон считает, что решение ФРС по ставке и инфляция — это уже «вчерашние новости»","13 дек 2022, 13:55",Новости,"['MS', 'AAPL', 'TSLA', 'BRK B']","['1.656', '0.672', '-4.309', '0.837']","['92.71', '145.33', '160.79', '312']"
171,«Коммерсантъ» узнал о росте интереса инвесторов к депозитарным распискам,"Сейчас бумаги торгуются на внебиржевом рынке с большим дисконтом, по ним невозможно получать дивиденды. Покупатели надеются, что это проблема решится после смены страны регистрации эмитента","13 дек 2022, 09:40",Новости,"['YDEX', 'FIVE', 'MDMG', 'AGRO', 'GLTR']","['-1.176', '0.164', '-0.709', '-1.753', '-0.847']","['1899.2', '1525', '420.1', '683.6', '275']"
172,"Инфляция в США, цены на нефть, потолок цен на газ: дайджест инвестора","В США выйдут данные по инфляции. Прогноз — 7,3%. Цены Brent отскочили к $79 за баррель. Совет министров энергетики ЕС на внеочередном заседании обсудит потолок цен на газ. События, которые влияют на рынки","13 дек 2022, 09:11",События дня,"['BRENT', 'GE']","['1.248', '-0.385']","['81.97', '82.88']"
173,Аккаунт Майкла Бьюрри в Twitter стал самым популярным среди инвесторов,"Инвестор неоднократно оставлял в соцсети загадочные сообщения, которые затем удалял — иногда вместе с аккаунтом","12 дек 2022, 21:21",Новости,"['TSLA', 'AAPL', 'BRK B']","['-5.992', '1.662', '0.996']","['168.03', '144.36', '309.41']"
174,Bank of America спрогнозировал быстрый возврат цены Brent выше $90,Нефтяные котировки могут подскочить из-за разворота политики ФРС и восстановления китайской экономики после затяжной борьбы с COVID-19,"12 дек 2022, 20:27",Новости,"['BRENT', 'ROSN', 'LKOH', 'SIBN', 'TATN', 'TATNP']","['1.074', '-0.283', '0.011', '0.774', '-1.207', '-0.316']","['80.96', '335.2', '4583.5', '475', '360.1', '347.5']"
175,Брокеры выступили против идеи ЦБ о прямых сделках инвесторов с эмитентами,"В ЦБ отмечали, что рассматривают развитие канала продаж акций и облигаций эмитентами напрямую гражданам. По мнению регулятора, это поможет снизить издержки и избавиться от подталкивания клиентов брокерами к покупкам","12 дек 2022, 20:19",Новости,"['IMOEX', 'RTSI', 'SPBE']","['-0.215', '-0.933', '-0.861']","['2173.16', '1088.86', '115.1']"
176,В Госдуме назвали сроки запуска «закрытой» платформы по раскрытию данных,"Частные инвесторы получат доступ к данным, но позже, чем профучастники. Глава комитета Госдумы по финрынку Анатолий Аксаков рассказал «РБК Инвестициям», как решается вопрос о раскрытии информации по отчетности компаний","12 дек 2022, 19:56",Новости,"['IMOEX', 'RTSI']","['-0.215', '-0.933']","['2173.16', '1088.86']"
177,IPO кикшеринга Whoosh может пройти по нижней границе ценового диапазона,Цена первичного размещения акций Whoosh может составить около ₽185 за одну обыкновенную акцию. Ранее сервис сообщал о диапазоне ₽185–225,"12 дек 2022, 18:49",Новости,['IMOEX'],['-0.215'],['2173.16']
178,Частные инвесторы и профучастники разошлись в прогнозах по акциям США,Профессиональные инвесторы гораздо более пессимистично настроены к американским акциям накануне решения ФРС по ставке. Частные инвесторы ждут «ралли Санта-Клауса»,"12 дек 2022, 15:25",Новости,"['AAPL', 'XOM', 'JNJ', 'MSFT', 'WMT']","['1.662', '2.344', '1.224', '3.029', '1.823']","['144.36', '106.1', '177.84', '252.42', '147.99']"
179,Microsoft объявила о покупке пакета акций Лондонской фондовой биржи,"Партнерство Microsoft и LSE предполагает использование данных и аналитики нового поколения, а также решений для облачной инфраструктуры","12 дек 2022, 11:00",Новости,['MSFT'],['3.029'],['252.42']
180,Акции НЛМК подорожали после рекомендации совета директоров по дивидендам,"10 декабря совет директоров компании неожиданно рекомендовал акционерам выплатить дивиденды за 9 месяцев 2022 года в размере ₽2,6 на акцию","12 дек 2022, 10:20",Новости,"['NLMK', 'MAGN', 'CHMF']","['0.658', '1.03', '1.938']","['107.14', '31.875', '820.6']"
181,"Санкции Евросоюза, дивиденды НЛМК: дайджест","Министры иностранных дел ЕС намерены 12 декабря утвердить новые антироссийские санкции, заявил европейский источник. Совет директоров НЛМК рекомендовал дивиденды за 9 месяцев 2022 года. События, которые влияют на рынки","12 дек 2022, 09:25",События дня,"['NLMK', 'CHMF', 'MAGN', 'HPQ', 'LRCX']","['0.658', '1.938', '1.03', '2.871', '3.178']","['107.14', '820.6', '31.875', '29.02', '464.3']"
182,СНИЛС: что это за документ и почему в России он нужен каждому,"Нетрудно получить, невозможно потерять и можно забыть. Все эти фразы применимы к СНИЛС — документу, необходимому даже новорожденному. Что это за документ, как его получить и для чего он нужен — в обзоре «РБК Инвестиций»","11 дек 2022, 10:00",Академия,"['USD', 'EUR']","['0.04476140609109', '0.36293918062349']","['96.1079', '105.6891']"
183,Идеи для инвесторов на 2023 год: что будет с российским рынком,"Эксперты ведущих инвестиционных компаний рассказали «РБК Инвестициям», что ждет российских инвесторов в 2023 году и какие акции наиболее перспективны","11 дек 2022, 09:00",Что это значит,"['IMOEX', 'RTSI']","['-1.3800177164437', '-2.2571856844317']","['2749.89', '893.34']"
184,«Территория мифов». Что будет с китайским фондовым рынком в 2023 году,Заместитель директора по инвестиционной аналитике «БКС Мир инвестиций» Константин Черепанов проанализировал китайский фондовый рынок и назвал наиболее перспективные акции на 2023 год,"10 дек 2022, 10:00",Новости,"['BABA', 'WB', 'JD']","['-6.6712049012934', '-12.382578992314', '-7.5191163976211']","['109.68', '10.26', '43.54']"
185,Что будет с акциями «Газпрома» в 2023 году. Прогнозы экспертов,"«РБК Инвестиции» собрали мнения экспертов о перспективах акций «Газпрома» в 2023 году и его будущих дивидендных выплатах. Бумаги недооценены рынком, считают аналитики","10 дек 2022, 09:15",Новости,['GAZP'],['-1.4720167376522'],['131.86']
186,"Минфин представил программу накоплений россиян со страховкой на ₽2,8 млн",Граждане смогут делать добровольные взносы и увеличивать размер накоплений на пенсию за счет инвестирования средств в ценные бумаги,"09 дек 2022, 20:44",Новости,"['IMOEX', 'RTSI']","['-0.301', '0.227']","['2177.85', '1099.12']"
187,Топ событий на СПБ Бирже: IPO «КазМунайГаза» и 10 самых популярных акций,"Каждую неделю «РБК Инвестиции» отбирают пять заметных историй на мировых торговых площадках, за которыми следили инвесторы. Рассказываем о самых важных событиях последних дней","09 дек 2022, 19:20",События недели,"['KAP', 'TSLA', '9988', '9618']","['', '3.002', '-0.166', '-0.852']","['', '178.74', '90.45', '232.8']"
188,Цены на нефть Brent начали расти после слов Путина о сокращении добычи,"Президент Владимир Путин заявил, что Россия не будет продавать нефть в те страны, которые приняли потолок цен и предположил, что страна может сократить добычу","09 дек 2022, 17:22",Новости,"['BRENT', 'ROSN', 'LKOH']","['-1.838', '0.734', '0.109']","['80.1', '336.15', '4583']"
189,На Уолл-стрит ждут ралли в бумагах китайских компаний и IT-сектора США,"Среди наиболее перспективных в 2023 году бумаг многие управляющие крупных инвестиционных фондов выделили акции Apple, Amazon и материнской компании Google — Alphabet","09 дек 2022, 16:55",Новости,"['AAPL', 'GOOGL', 'AMZN']","['-0.421', '-1.025', '-1.559']","['142', '92.72', '89.05']"
190,Инвестбанкиры оценили спрос клиентов-миллионеров на облигации в юанях,"В BCS Global Markets рассказали, что их состоятельные клиенты проигнорировали такие активы. В инвестбанке «Синара», напротив, сообщили, что крупные частные инвесторы вложили значительную сумму в юаневые облигации","09 дек 2022, 15:50",Новости,"['CNY/RUB', 'USD/RUB', 'EUR/RUB']","['-0.233', '-0.546', '-0.982']","['8.978', '62.43', '65.55']"
191,Акции АЛРОСА упали на 5% на новости об увеличении налога на ₽19 млрд,"Минфин планирует, что компания заплатит дополнительный НДПИ в первом квартале 2023 года","09 дек 2022, 15:44",Новости,"['ALRS', 'PLZL', 'GMKN']","['-4.753', '0.25', '0.363']","['61.52', '7420.5', '149.4']"
192,«Сбер» предсказал ₽1 трлн дивидендов для инвесторов российских компаний,"Всего же в 2022 году 15 российских «голубых фишек» могут направить на выплаты акционерам ₽2,9 трлн","09 дек 2022, 13:25",Новости,"['SBER', 'SBERP', 'LKOH', 'ROSN']","['0.079', '0.051', '0.109', '0.734']","['140.03', '136.13', '4583', '336.15']"
193,ЦБ обяжет финсоветников предупреждать клиентов о рисках и платности услуг,"По новым правилам перед заключением договора инвестиционный советник, в частности, должен сообщить, будет ли он сам заниматься мониторингом портфеля или это следует делать клиенту","09 дек 2022, 12:54",Новости,"['USD/RUB', 'IMOEX', 'RTSI']","['-0.546', '-0.301', '0.227']","['62.43', '2177.85', '1099.12']"
194,«Тинькофф Инвестиции» сообщили о сбое в работе брокерского приложения,"Клиенты брокера «Тинькофф Инвестиции» пожаловались на то, что не могут войти в приложение. В пресс-службе финансовой группы подтвердили сбой в работе сервиса","09 дек 2022, 12:19",Новости,"['TCSG', 'IMOEX', 'RTSI']","['-2.214', '-0.301', '0.227']","['2473', '2177.85', '1099.12']"
195,Morgan Stanley спрогнозировал рост китайского рынка лучше мирового,"Аналитики полагают, что оптимизму на китайском рынке будут способствовать несколько факторов, в том числе смягчение антиковидных ограничений и улучшение отношений с США","09 дек 2022, 11:08",Новости,"['MS', '9988', '9618', '2015']","['0.879', '-0.166', '-0.852', '-5.895']","['89.47', '90.45', '232.8', '87.8']"
196,"Цены на нефть, Activision Blizzard и Microsoft, новые санкции: дайджест","В ценах на нефть начался технический отскок.. Американский регулятор хочет заблокировать сделку Activision Blizzard и Microsoft. Великобритания объявит о новых санкциях против России. События, которые влияют на рынок","09 дек 2022, 09:25",События дня,"['BRENT', 'MSFT', 'SGZH', '2015']","['-1.838', '-0.886', '-2.602', '-5.895']","['80.1', '245', '4.605', '87.8']"
197,Цена на нефть Brent упала ниже $76 за баррель впервые за почти год,Нефтяные котировки снижаются на фоне неопределенности с перспективами мировой экономики и спроса на топливо в мире. С начала недели нефть подешевела уже более чем на $10 или почти на 12%,"08 дек 2022, 18:58",Новости,"['BRENT', 'ROSN', 'LKOH']","['-1.77', '-0.418', '-0.316']","['81.6', '333.7', '4578']"
198,«Неквалы» с марта могут получить доступ к части иностранных бумаг,"ЦБ планирует разрешить неквалифицированным инвесторам сделки с бумагами иностранных компаний, которые ведут основной бизнес в России и ЕАЭС. Запрет на сделки с акциями эмитентов из недружественных стран сохранится","08 дек 2022, 18:15",Подборки,[],[],[]
199,CNBC: Только 1% инвесторов решили сократить портфели в 2023 году,Такой результат показал британской инвестиционной платформы Finimize. В 2023 году 72% инвесторов планируют покупать акции. Из них 64% отдают предпочтение бумагам крупных технологических компаний,"08 дек 2022, 17:08",Новости,"['AAPL', 'MSFT', 'GOOGL']","['1.106', '1.142', '-1.348']","['142.6', '247.19', '93.68']"
200,Совет директоров ТГК-1 рекомендовал не выплачивать дивиденды за 2021 год,"В мае 2022 года совет директоров энергогенерирующей компании принял положительное решение о выплате дивидендов за тот же преиод, однако общее собрание акционеров не утвердило рекомендацию","08 дек 2022, 16:17",Новости,"['TGKA', 'GAZP', 'TGKBP', 'TGKB']","['-3.288', '-0.428', '-0.752', '-2.226']","['0.00753', '163', '0.00528', '0.003295']"
201,Нуриэль Рубини предсказал обвал S&P500 на 25% в условиях сильной рецесии,"Предсказавший мировой финансовый кризис 2008 года экономист Нуриэль Рубини предупредил, что рынок американских акций может потерять еще четверть капитализации в случае погружения экономики в серьезную рецессию","08 дек 2022, 15:33",Новости,"['AMZN', 'TSLA', 'AAPL']","['2.122', '-0.098', '1.106']","['90.46', '173.53', '142.6']"
202,В Минфине спрогнозировали рост спроса инвесторов на золото в 10 раз,"Заместитель министра финансов РФ Алексей Моисеев также отметил, что спрос «переходит в сторону стограммовых слитков», что вынуждает заводы перестраивать производство на слитки меньших размеров","08 дек 2022, 12:05",Новости,"['GOLD', 'Silver', 'Platinum']","['0.678', '2.011', '0.236']","['1781.6', '22.83', '1021.4']"
203,Мосбиржа ожидает роста объема долгового рынка выше ₽40 трлн в 2023 году,"Площадка повысила прогноз по объему локального долгового рынка на 2023 год, рассказал директор департамента долгового рынка Московской биржи Глеб Шевеленков","08 дек 2022, 11:56",Новости,"['IMOEX', 'RTSI']","['-0.385', '-0.209']","['2184.43', '1096.63']"
204,Минфин предложил вернуть иностранцам право на получение купонов по ОФЗ,Сейчас иностранцы получают купонные выплаты по ОФЗ на счета типа С. Вывести средства с него нельзя,"08 дек 2022, 11:16",Новости,"['SU26207RMFS9', 'SU26218RMFS6']","['0.005', '0.159']","['986', '937.98']"
205,Нью-Йоркская фондовая биржа начала процедуру делистинга расписок «Мечела»,"Биржа приняла это решение после того, как депозитарий Deutsche Bank объявил о намерении с 7 декабря прекратить действие депозитарных соглашений по ADR «Мечела»","08 дек 2022, 11:06",Новости,"['MTLRP', 'MTLR']","['-0.79', '-0.723']","['131.85', '100.17']"
206,Сбербанк сообщил о росте чистой прибыли на 22% год к году в ноябре,"В ноябре Сбербанк заработал ₽124,7 млрд чистой прибыли. Показатель сопоставим с результатами предыдущего месяца, когда банк заработал ₽122,8 млрд чистой прибыли","08 дек 2022, 10:52",Новости,"['SBER', 'SBERP']","['-1.686', '-1.04']","['139.92', '136.06']"
207,«Очень вредно для экономики». Рэй Далио предупредил о падении рынка США,"Инвестор заметил, что сейчас рынок ожидает снижения инфляции и процентных ставок. Однако Далио полагает, что инфляция сохранится на высоком уровне, а ставки вырастут к 6%","08 дек 2022, 09:59",Новости,['USD/RUB'],['-0.076'],['62.7725']
208,"«КазМунайГаз» на СПБ Бирже, рост в Гонконге, аукцион ОФЗ: дайджест","В четверг СПБ биржа начнет торги акциями «КазМунайГаз». В Гонконге ралли на новостях об ослаблении антиковидных ограничений. Минфин провел почти рекордный аукцион размещения ОФЗ. События, которые влияют на рынок","08 дек 2022, 08:52",События дня,"['BRENT', 'USD/RUB', 'EUR/RUB']","['-1.77', '-0.076', '0.011']","['81.6', '62.7725', '66.2']"
209,Илон Маск перестал быть самым богатым человеком в мире,Бизнесмен теряет статус самого богатого человеком в мире на фоне падения акций Tesla,"07 дек 2022, 20:30",Новости,"['TSLA', 'RL', 'F']","['-3.193', '-0.938', '-1.579']","['173.7', '109.78', '13.09']"
210,Минфин разместил близкий к рекордному однодневный объем ОФЗ,"На аукционах 7 декабря было размещено ОФЗ на общую сумму ₽808,78 млрд. Рекорд по совокупному объему размещения ОФЗ за один день был установлен 16 ноября на уровне ₽823 млрд","07 дек 2022, 17:58",Новости,['USD/RUB'],['-0.42'],['62.82']
211,Акции АФК «Системы» подорожали на 2% после слов Евтушенкова о дивидендах,"Основатель компании заявил, что акционеры могут рассчитывать на выплату дивидендов за 2022 год. При этом проводить обратный выкуп компания не планирует","07 дек 2022, 17:42",Новости,['AFKS'],['1.308'],['12.629']
212,СПБ Биржа анонсировала начало торгов акциями казахстанской «КазМунайГаз»,Торги бумагами казахстанского нефтегазового гиганта начнутся на СПБ Бирже 8 декабря с 08:30 мск,"07 дек 2022, 16:52",Новости,"['ROSN', 'LKOH', 'SIBN', 'TATN', 'TATNP']","['-0.268', '-0.239', '-0.5', '-0.028', '-0.2']","['335.1', '4592.5', '477.5', '361.6', '348.8']"
213,Morgan Stanley предсказал резкий рост китайских акций в 2023 году,"Китайские активы вырастут благодаря дальнейшим ослаблениям ограничений, введенных в связи с COVID-19, и увеличению деловой активности в стране. В Morgan Stanley ждут роста индекса Hang Seng на 13% в 2023 году","07 дек 2022, 14:32",Новости,"['MS', 'BABA', 'JD', '857']","['-0.717', '-3.107', '-2.589', '-2.74']","['87.28', '88.56', '58.7', '3.55']"
