,title,description,date,type,comp_short,data_exchange,data-price
16,Цена на золото превысила $1850 за унцию впервые с июня 2022 года,Золото дорожает на фоне удешевления доллара к мировым валютам,"03 янв 2023, 13:25",Новости,"['GOLD', 'Silver', 'PLZL']","['-0.089652596189765', '0.22450288646568', '2.743']","['2674.6', '31.25', '7903']"
17,Акции Tesla снизились на 3% после отчета о поставках за четвертый квартал,"Несмотря на то что рост поставок по сравнению с аналогичными показателями прошлого года составил 40%, данные о поставках оказались хуже прогнозов экспертов","03 янв 2023, 12:10",Новости,"['TSLA', 'F', 'GM', 'RIVN']","['1.5238965245194', '0', '0.065245759025663', '-0.1906577693041']","['244.5', '10.49', '46.01', '10.47']"
18,Акционеры НЛМК не утвердили выплату дивидендов. Акции упали на 4%,"В декабре совет директоров НЛМК рекомендовал общему собранию акционеров выплатить дивиденды за девять месяцев 2022 года в размере ₽2,6 на акцию","03 янв 2023, 10:10",Новости,"['NLMK', 'MAGN', 'CHMF']","['-2.887', '1.613', '-0.708']","['114.36', '33.395', '897.6']"
19,Сколько и как можно было заработать и потерять в 2022 году: расчеты РБК,«РБК Инвестиции» сравнили эффективность вложений в разные инструменты в 2022 году. На чем и сколько можно было заработать или потерять в течение года — в нашем обзоре,"03 янв 2023, 09:30",Итоги месяца,"['RU000A103PX8', 'SU29006RMFS2', 'TSLA', 'AAPL', 'GAZP', 'SBERP', 'USD/RUB', 'EUR/USD', 'CNY/RUB']","['0.681', '0.174', '1.5238965245194', '1.840407776625', '0.591', '0.312', '1.77', '-0.665', '1.998']","['757.12', '1021.78', '244.5', '225.77', '163.52', '141.43', '71.1375', '1.053', '10.11']"
20,Что посмотреть на праздники: 5 сериалов про инвестиции и трейдеров,"Что делать в праздники, если биржи закрыты или просто нет желания торговать, а отрываться от тематики инвестиций не хочется? Можно смотреть сериалы о финансовых рынках и жизни трейдеров — мы собрали для вас лучшие","02 янв 2023, 11:00",Биржевые истории,"['NFLX', 'CMCSA', 'DIS']","['2.8265329382266', '0.96153846153846', '0.12988418660028']","['721.76', '40.95', '92.51']"
21,Изменения в законах и налогах инвестора в 2023 году: полный гайд,"Какие акции освобождены от налога, о счетах в каких странах может узнать ФНС, каким будет налог по доходу с банковских вкладов — в едином гайде «РБК Инвестиций» совместно с экспертами","02 янв 2023, 09:30",Подборки,"['USD', 'EUR']","['0.04476140609109', '0.36293918062349']","['96.1079', '105.6891']"
22,Куда вложить ₽100 тыс. в 2023 году: 5 перспективных идей,"Санкции, нестабильный курс доллара и сильные скачки цен на бумаги — после непростого 2022 года собирать портфель стало сложнее. «РБК Инвестиции» опросили экспертов и собрали варианты для вложения небольшого депозита","01 янв 2023, 09:30",Инструкции,"['RUAL', 'PLZL', 'MAGN']","['-3.0034324942792', '-2.0167814275501', '-1.507193423156']","['33.91', '13020.5', '43.13']"
23,Чем инвесторам запомнился 2022 год: топ-5 потрясений на российском рынке,"Каким инвесторы запомнили уходящий 2022 год: самый большой обвал рынка в истории, скачки курса рубля и запрет на покупку иностранных ценных бумаг из недружественных стран","31 дек 2022, 09:30",Что это значит,"['IMOEX', 'RTSI']","['-1.3549134440551', '-2.2473385340876']","['2750.59', '893.43']"
24,Лицензия Люксембурга не позволит разблокировать активы в Clearstream,"Условия лицензии Минфина Люксембурга на разблокировку активов НРД на счетах в Clearstream невыполнимы, рассказали санкционные юристы Сергей Гландин и Елена Рязанова со ссылкой на совещание с НРД","30 дек 2022, 19:51",Новости,"['IMOEX', 'RTSI']","['0.329', '3.608']","['2154.12', '970.6']"
25,"Доллар к рублю по итогам 2022 года упал на 6,4%, до ₽69,9","Хотя курс не сильно изменился относительно уровней закрытия 2021 года, валюта за последние 12 месяцев показала сильную волатильность. «РБК Инвестиции» собрали самые заметные взлеты и падения","30 дек 2022, 19:10",Что это значит,['IMOEX'],['0.329'],['2154.12']
