BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
TQBR,2018-04-26,ГАЗПРОМ ао,GAZP,31562,3223002132.8,143.07,142.6,145.75,145.48,144.56,145.48,22295800,144.56,144.56,145.48,3223002132.8,3223002132.8,3223002132.8,,3,SUR,1.95
EQDP,2018-04-27,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-04-27,ГАЗПРОМ ао,GAZP,14,3472.96,144.49,144.48,145.14,,144.83,144.48,24,,,,0.0,0.0,0.0,,3,SUR,0.28
TQBR,2018-04-27,ГАЗПРОМ ао,GAZP,24292,2830656472.3,146.0,143.77,146.0,144.5,144.83,144.5,19544860,144.83,144.83,144.5,2830656472.3,2830656472.3,2830656472.3,,3,SUR,-0.67
EQDP,2018-04-28,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-04-28,ГАЗПРОМ ао,GAZP,1,144.42,144.42,144.42,144.42,,144.14,144.42,1,,,,0.0,0.0,0.0,,3,SUR,-0.04
TQBR,2018-04-28,ГАЗПРОМ ао,GAZP,13950,325531345.1,144.5,143.83,144.5,144.3,144.14,144.3,2258670,144.13,144.13,144.3,325531345.1,325531345.1,325531345.1,,3,SUR,-0.14
EQDP,2018-04-30,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-04-30,ГАЗПРОМ ао,GAZP,2,1126.0,146.0,140.0,146.0,,145.63,140.0,8,,,,0.0,0.0,0.0,,3,SUR,-3.06
TQBR,2018-04-30,ГАЗПРОМ ао,GAZP,23233,2225393515.8,144.3,143.7,147.29,145.93,145.63,145.93,15280790,145.63,145.63,145.93,2225393515.8,2225393515.8,2225393515.8,,3,SUR,1.13
EQDP,2018-05-02,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-05-02,ГАЗПРОМ ао,GAZP,12,4609.43,145.29,143.7,145.29,,144.81,144.08,32,,,,0.0,0.0,0.0,,3,SUR,2.91
TQBR,2018-05-02,ГАЗПРОМ ао,GAZP,22303,2319341350.7,145.35,143.96,145.77,144.94,144.81,144.94,16016740,144.81,144.81,144.94,2319341350.7,2319341350.7,2319341350.7,,3,SUR,-0.68
EQDP,2018-05-03,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-05-03,ГАЗПРОМ ао,GAZP,4,2012.12,143.73,143.71,143.73,,144.49,143.71,14,,,,0.0,0.0,0.0,,3,SUR,-0.26
TQBR,2018-05-03,ГАЗПРОМ ао,GAZP,33432,3474983964.8,144.44,142.7,146.15,142.7,144.49,142.7,24049590,144.49,144.49,142.7,3474983964.8,3474983964.8,3474983964.8,,3,SUR,-1.55
EQDP,2018-05-04,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-05-04,ГАЗПРОМ ао,GAZP,7,3301.01,143.01,143.01,144.0,,143.6,144.0,23,,,,0.0,0.0,0.0,,3,SUR,0.2
TQBR,2018-05-04,ГАЗПРОМ ао,GAZP,18071,1684482519.8,143.39,143.09,144.2,143.73,143.6,143.73,11728700,143.62,143.62,143.73,1684482519.8,1684482519.8,1684482519.8,,3,SUR,0.72
EQDP,2018-05-07,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-05-07,ГАЗПРОМ ао,GAZP,6,3156.85,143.8,143.26,144.14,,144.34,144.14,22,,,,0.0,0.0,0.0,,3,SUR,0.1
TQBR,2018-05-07,ГАЗПРОМ ао,GAZP,14601,1361392632.2,144.75,143.45,145.1,144.05,144.34,144.05,9431820,144.34,144.34,144.05,1361392632.2,1361392632.2,1361392632.2,,3,SUR,0.22
EQDP,2018-05-08,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-05-08,ГАЗПРОМ ао,GAZP,6,1152.12,144.99,143.66,144.99,,144.36,143.66,8,,,,0.0,0.0,0.0,,3,SUR,-0.33
TQBR,2018-05-08,ГАЗПРОМ ао,GAZP,23806,2642252831.6,143.8,143.16,145.48,145.48,144.36,145.48,18302910,144.36,144.36,145.48,2642252831.6,2642252831.6,2642252831.6,,3,SUR,0.99
EQDP,2018-05-10,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-05-10,ГАЗПРОМ ао,GAZP,20,10057.54,146.34,143.27,146.85,,146.52,146.85,69,,,,0.0,0.0,0.0,,3,SUR,2.22
TQBR,2018-05-10,ГАЗПРОМ ао,GAZP,33066,3553710936.1,145.98,145.57,147.15,146.38,146.52,146.38,24255510,146.51,146.51,146.38,3553710936.1,3553710936.1,3553710936.1,,3,SUR,0.62
EQDP,2018-05-11,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-05-11,ГАЗПРОМ ао,GAZP,32,10985.59,135.03,135.03,150.5,,149.0,150.17,74,,,,0.0,0.0,0.0,,3,SUR,2.26
TQBR,2018-05-11,ГАЗПРОМ ао,GAZP,49030,6673910973.3,146.4,146.4,151.1,150.7,149.0,150.7,44794480,148.99,148.99,150.7,6673910973.3,6673910973.3,6673910973.3,,3,SUR,2.95
EQDP,2018-05-14,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-05-14,ГАЗПРОМ ао,GAZP,12,5236.53,149.51,149.22,150.07,,149.78,150.07,35,,,,0.0,0.0,0.0,,3,SUR,-0.07
TQBR,2018-05-14,ГАЗПРОМ ао,GAZP,30437,4186645609.0,151.25,148.03,151.27,150.98,149.78,150.98,27957030,149.75,149.75,150.98,4186645609.0,4186645609.0,4186645609.0,,3,SUR,0.19
EQDP,2018-05-15,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-05-15,ГАЗПРОМ ао,GAZP,3,744.48,148.92,148.81,149.13,,149.07,148.81,5,,,,0.0,0.0,0.0,,3,SUR,-0.84
TQBR,2018-05-15,ГАЗПРОМ ао,GAZP,35825,4338287814.9,150.5,148.0,150.7,149.2,149.07,149.2,29101470,149.07,149.07,149.2,4338287814.9,4338287814.9,4338287814.9,,3,SUR,-1.18
EQDP,2018-05-16,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-05-16,ГАЗПРОМ ао,GAZP,21,7288.63,150.99,147.83,150.99,,149.68,147.89,49,,,,0.0,0.0,0.0,,3,SUR,-0.62
TQBR,2018-05-16,ГАЗПРОМ ао,GAZP,40305,6552978112.5,148.6,148.11,150.7,148.59,149.68,148.59,43781450,149.67,149.67,148.59,6552978112.5,6552978112.5,6552978112.5,,3,SUR,-0.41
EQDP,2018-05-17,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-05-17,ГАЗПРОМ ао,GAZP,14,5328.12,147.61,147.6,149.14,,148.31,147.6,36,,,,0.0,0.0,0.0,,3,SUR,-0.2
TQBR,2018-05-17,ГАЗПРОМ ао,GAZP,22614,2844169741.8,149.23,147.15,149.36,147.15,148.31,147.15,19176990,148.31,148.31,147.15,2844169741.8,2844169741.8,2844169741.8,,3,SUR,-0.97
EQDP,2018-05-18,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-05-18,ГАЗПРОМ ао,GAZP,8,2478.83,145.67,145.67,145.99,,146.41,145.76,17,,,,0.0,0.0,0.0,,3,SUR,-1.25
TQBR,2018-05-18,ГАЗПРОМ ао,GAZP,26211,3140370139.7,147.2,145.19,147.88,145.65,146.41,145.65,21448430,146.41,146.41,145.65,3140370139.7,3140370139.7,3140370139.7,,3,SUR,-1.02
EQDP,2018-05-21,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-05-21,ГАЗПРОМ ао,GAZP,13,4996.08,146.65,146.6,148.57,,147.41,147.0,34,,,,0.0,0.0,0.0,,3,SUR,0.85
TQBR,2018-05-21,ГАЗПРОМ ао,GAZP,21280,2390787051.0,146.0,145.9,148.2,146.76,147.41,146.76,16218790,147.41,147.41,146.76,2390787051.0,2390787051.0,2390787051.0,,3,SUR,0.76
EQDP,2018-05-22,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-05-22,ГАЗПРОМ ао,GAZP,16,5580.24,146.41,146.41,147.56,,146.94,146.98,38,,,,0.0,0.0,0.0,,3,SUR,-0.01
TQBR,2018-05-22,ГАЗПРОМ ао,GAZP,16141,1931827888.6,146.97,146.42,147.6,146.5,146.94,146.5,13146640,146.94,146.94,146.5,1931827888.6,1931827888.6,1931827888.6,,3,SUR,-0.18
EQDP,2018-05-23,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
