BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
SMAL,2022-07-20,ГАЗПРОМ ао,GAZP,24,8149.43,191.99,191.99,195.71,,193.5,192.5,42,,,,0.0,0.0,0.0,0,3,SUR,2.01
TQBR,2022-07-20,ГАЗПРОМ ао,GAZP,130672,8528995138.6,190.0,190.0,195.8,193.3,193.5,193.3,44078600,193.5,193.5,193.3,8528995138.6,8528995138.6,8528995138.6,0,3,SUR,2.0
SMAL,2022-07-21,ГАЗПРОМ ао,GAZP,15,9304.53,190.78,187.61,197.75,,190.52,187.62,49,,,,0.0,0.0,0.0,0,3,SUR,-2.54
TQBR,2022-07-21,ГАЗПРОМ ао,GAZP,83996,5299213221.6,194.65,188.0,195.45,189.59,190.52,189.59,27814900,190.52,190.52,189.59,5299213221.6,5299213221.6,5299213221.6,0,3,SUR,-1.92
SMAL,2022-07-22,ГАЗПРОМ ао,GAZP,17,6645.95,191.0,186.79,192.25,,191.45,190.9,35,,,,0.0,0.0,0.0,0,3,SUR,1.75
TQBR,2022-07-22,ГАЗПРОМ ао,GAZP,62327,3420879384.9,189.0,188.6,192.95,192.25,191.45,192.25,17869300,191.44,191.44,192.25,3420879384.9,3420879384.9,3420879384.9,0,3,SUR,1.4
SMAL,2022-07-25,ГАЗПРОМ ао,GAZP,32,7313.93,193.5,191.03,194.99,,193.02,191.51,38,,,,0.0,0.0,0.0,0,3,SUR,0.32
TQBR,2022-07-25,ГАЗПРОМ ао,GAZP,71674,4273112899.0,192.6,190.56,194.65,192.0,193.02,192.0,22138550,193.02,193.02,192.0,4273112899.0,4273112899.0,4273112899.0,0,3,SUR,-0.13
SMAL,2022-07-26,ГАЗПРОМ ао,GAZP,11,4023.12,191.03,191.0,194.54,,193.19,191.0,21,,,,0.0,0.0,0.0,0,3,SUR,-0.27
TQBR,2022-07-26,ГАЗПРОМ ао,GAZP,64406,3864679645.0,192.0,191.2,194.49,193.95,193.19,193.95,20004890,193.19,193.19,193.95,3864679645.0,3864679645.0,3864679645.0,0,3,SUR,1.02
SMAL,2022-07-27,ГАЗПРОМ ао,GAZP,16,5093.4,195.33,193.01,197.97,,196.01,196.84,26,,,,0.0,0.0,0.0,0,3,SUR,3.06
TQBR,2022-07-27,ГАЗПРОМ ао,GAZP,95891,5565438177.7,194.5,194.1,197.5,196.49,196.01,196.49,28393430,196.01,196.01,196.49,5565438177.7,5565438177.7,5565438177.7,0,3,SUR,1.31
SMAL,2022-07-28,ГАЗПРОМ ао,GAZP,12,7878.11,197.5,195.3,197.77,,196.74,197.77,40,,,,0.0,0.0,0.0,0,3,SUR,0.47
TQBR,2022-07-28,ГАЗПРОМ ао,GAZP,71745,4331580641.8,198.0,195.0,198.79,196.25,196.74,196.25,22017040,196.74,196.74,196.25,4331580641.8,4331580641.8,4331580641.8,0,3,SUR,-0.12
SMAL,2022-07-29,ГАЗПРОМ ао,GAZP,10,4116.81,198.77,194.55,198.77,,195.12,196.74,21,,,,0.0,0.0,0.0,0,3,SUR,-0.52
TQBR,2022-07-29,ГАЗПРОМ ао,GAZP,50945,2761271661.3,196.25,193.5,196.8,195.26,195.12,195.26,14151520,195.12,195.12,195.26,2761271661.3,2761271661.3,2761271661.3,0,3,SUR,-0.5
SMAL,2022-08-01,ГАЗПРОМ ао,GAZP,15,9737.6,197.97,192.01,197.97,,193.06,192.03,50,,,,0.0,0.0,0.0,0,3,SUR,-2.39
TQBR,2022-08-01,ГАЗПРОМ ао,GAZP,48056,2525738874.3,194.5,192.0,194.69,192.0,193.06,192.0,13080650,193.09,193.09,192.0,2525738874.3,2525738874.3,2525738874.3,0,3,SUR,-1.67
SMAL,2022-08-02,ГАЗПРОМ ао,GAZP,42,15492.55,191.0,186.54,193.97,,188.6,186.69,82,,,,0.0,0.0,0.0,0,3,SUR,-2.78
TQBR,2022-08-02,ГАЗПРОМ ао,GAZP,80632,4583483590.6,191.56,186.8,191.68,187.16,188.6,187.16,24300060,188.62,188.62,187.16,4583483590.6,4583483590.6,4583483590.6,0,3,SUR,-2.52
SMAL,2022-08-03,ГАЗПРОМ ао,GAZP,12,7686.33,186.09,186.09,188.52,,187.81,188.0,41,,,,0.0,0.0,0.0,0,3,SUR,0.7
TQBR,2022-08-03,ГАЗПРОМ ао,GAZP,42125,2265618331.6,187.51,186.31,188.97,187.04,187.81,187.04,12063310,187.81,187.81,187.04,2265618331.6,2265618331.6,2265618331.6,0,3,SUR,-0.06
SMAL,2022-08-04,ГАЗПРОМ ао,GAZP,22,7825.33,185.51,185.0,188.97,,185.48,185.0,42,,,,0.0,0.0,0.0,0,3,SUR,-1.6
TQBR,2022-08-04,ГАЗПРОМ ао,GAZP,55835,2477401905.3,187.0,184.3,187.22,184.9,185.48,184.9,13353850,185.52,185.52,184.9,2477401905.3,2477401905.3,2477401905.3,0,3,SUR,-1.14
